תוספות איזה שאוהבים
קג תםוחי אדמה עדיף מזן ראטה
מאשייה
ממרח טרשי
קורנישונים
רוטב  או רוטב חריף אחר
 ציר דאשי טבעוני
יונים
חוט שדרה
גהי
מנה שרזרט ירוק
מנה גין
קרגינן
קייגון
פרחי מאשיה טחונים
קג ריאות
פרוסת פרושטו חתוכה דק
פטיש
